latitude,longitude,landslide_size,landslide_trigger
38.066351,42.190688,1,12
21.0233,107.293,2,12
40.7918,-77.7785,3,12
46.45955095,-122.7508186,3,3
44.9454,-118.9956,4,15
39.44997865,-80.17766245,3,13
44.8559,-123.9567,4,15
34.40393623,74.26149296,3,12
51.61644433,-1.244926178,3,12
11.1719,125.5245,2,12
41.9288,23.2216,3,13
37.0905,-121.7522,2,3
35.6255,-82.5166,2,3
27.7759,85.8701,2,1
6.2069,7.0678,2,12
43.1888,-110.9541,2,3
39.1312,-120.9276,2,3
44.1247,-124.1257,4,15
43.6904,-123.9756,4,15
42.6214,-124.3982,4,15
19.5633,-96.9479,2,14
27.61274095,85.09556375,3,3
27.7276,88.0446,2,3
10.3228,76.4319,2,9
31.5168,78.0976,2,3
40.7676,-111.7669,3,12
47.9933,-122.2136,3,3
40.5606,-75.1735,3,5
30.9983,103.6194,2,3
34.5847,73.3731,1,3
6.3665,124.7338,2,14
14.7822,74.2279,2,3
25.4769,94.1351,2,3
29.6131,79.494,2,3
43.6756,-123.7967,2,15
37.9867,68.69,2,3
47.9897,-122.3631,3,12
27.0869,93.6086,1,3
37.36284311,71.49733827,3,1
43.2479,-124.2259,2,3
44.71,-122.2336,4,15
37.14832241,-122.0185569,2,1
21.3787,-157.9207,3,3
32.804,-88.3108,2,3
25.6566,96.3495,2,8
49.3055,-123.1452,2,3
26.6537,105.7688,3,1
38.4832,-82.4247,3,1
27.5002,86.5833,2,3
45.2508,-123.8481,4,15
18.5369,-96.8229,2,12
-27.4601,152.0525,2,3
40.35664064,-79.87463695,3,13
14.5624,-90.5205,2,3
38.5653,-80.4459,3,3
43.3321,-90.595,2,3
36.2556,73.6075,3,4
26.66354481,94.62220277,3,12
7.704408,80.77697,2,0
29.0697,82.106,2,3
45.3768,-121.6933,3,15
27.0483,86.3248,3,9
37.1306,-82.834,2,12
10.313,123.8946,2,3
-10.2101,123.5999,2,3
25.5215,93.1645,2,3
46.43091744,30.76919899,3,0
-43.643,170.159,2,3
55.4021,-131.72,3,12
37.755,-81.8917,2,3
-1.6649,29.8353,2,12
52.456,-2.4244,3,12
61.0883,-145.91,1,13
28.1855,83.6527,2,12
45.88,-118.9662,4,15
45.5974,-121.6279,4,15
3.1523,101.6832,2,12
40.6319,-115.3703,3,13
40.1293,73.5233,2,3
40.0018,-105.3914,2,3
23.8917,90.9733,2,12
26.1984,94.8158,2,3
14.8315,108.7431,2,3
-22.5195,-43.2003,2,3
40.09289035,-80.72112486,3,5
9.2774,122.8787,2,3
-22.9312,-43.2075,1,3
11.6064,121.6896,2,9
24.808,93.117,2,12
32.8869,130.9814,1,4
9.9454,98.6076,3,12
50.4167,-5.0761,3,6
-0.5487,37.0498,2,3
9.2903,123.26,2,12
-29.954,30.866,2,12
28.2,99.4,1,4
37.277007,-83.108536,3,12
45.4818,-122.6513,2,3
32.71899669,-116.4617015,3,6
45.5626,-123.8916,4,15
-36.798102,175.084997,3,3
27.9547,120.6434,2,14
43.2988,-122.8778,4,15
39.2515,-84.6515,2,3
28.3742,83.5214,2,3
48.72,-122.2,3,12
37.9065,-82.907,3,3
55.3752,-3.9355,3,3
16.7437,120.8269,2,3
14.1105,-87.2507,2,12
19.069,72.8703,2,3
16.5175,80.6117,2,12
38.1825,-84.8757,3,3
44.32688636,6.807628202,2,3
37.73075352,-119.7564456,3,12
45.5278,-122.6652,2,13
14.744,-91.1344,2,12
27.5,90.5034,2,3
8.577,124.785,2,14
7.7299,125.0989,3,12
50.1047,14.4185,3,0
36.3085,74.8219,2,3
33.40832011,75.20596208,3,1
28.2872,84.2015,2,15
31.709,76.9312,2,3
45.96399959,-72.67766252,3,12
-22.89234445,-43.07409842,2,3
33.6423,-109.3279,2,12
47.5857,-120.682,2,12
33.1804,75.8101,2,13
43.3982,-75.3733,2,3
42.1,44.95,2,3
27.4907,86.1078,2,9
49.454804,-2.621487,3,3
37.3486,-83.4771,1,1
10.2466,-61.3092,3,3
18.9523,-72.7053,2,3
34.2689,75.1495,2,1
27.767046,84.469745,2,12
48.736721,-122.359062,3,12
44.2443,-124.1116,4,15
3.8258,101.383,2,15
27.26132994,86.77220558,2,1
27.86624658,84.63118672,2,3
-6.1014,145.0722,2,1
25.61560252,94.11603493,2,3
10.4524,123.2617,2,3
16.4034,120.5962,2,12
15.728,121.5989,2,14
57.6984,-130.0184,2,15
-32.8091,149.8098,2,1
29.4605,81.682,2,3
42.9633,-123.8572,4,15
-6.8026,106.5218,2,12
44.6382,-123.2664,3,13
44.7786,-124.0704,4,15
39.28434339,-119.657215,3,10
35.9251,-83.9534,2,3
23.1316,113.2666,2,3
26.7324,88.4089,3,12
52.801,-8.8776,3,3
45.5102,-122.7037,3,5
21.4782,-158.05,3,12
19.1711,73.0207,2,3
41.4816,72.3119,2,3
45.7528,-123.9636,4,15
37.775,-83.6772,3,3
48.794633,-116.155712,3,16
-42.5589,147.8621,3,3
45.2401,-121.6997,4,15
28.1321,84.4723,1,1
10.2165,123.7344,2,3
17.27,121.0536,2,14
33.6024,-117.4532,3,3
16.3183,120.5519,2,1
43.2984,-122.533,4,15
25.5125,93.3613,2,3
11.2475,-74.2017,1,3
10.1999,123.7215,2,14
10.3316,76.9592,3,0
27.66868142,86.04142973,1,3
43.6751,-123.9307,4,15
29.8901,95.5728,2,3
21.44,92.0,2,3
44.3471,9.3134,2,3
30.4783,78.2741,2,12
14.8271,120.2685,3,9
2.011,112.943,2,12
22.8729,110.501,1,3
14.9923,108.701,2,12
22.54,114.05,1,14
27.6291,87.9436,2,15
27.9167,83.0833,2,12
48.0955,-122.4937,2,3
32.7327,74.8556,2,3
44.4216,-121.8784,4,15
32.8853,131.0054,2,4
27.2717,112.2414,2,3
16.9648,73.5189,2,12
44.4307,-121.8753,4,15
3.969957896,114.5253161,2,1
28.9525,101.5041,2,3
14.8435,120.2683,2,12
34.8142,74.3225,2,3
48.1285,-122.3624,2,12
40.4613,-106.8295,3,12
37.335787,-80.960781,3,15
35.2902,-111.5932,2,3
45.27076031,-123.8354432,2,12
47.8636,-121.6737,3,5
6.1699,-0.279,2,1
34.1559,-118.2235,2,1
-7.509,107.6982,2,3
-20.23931048,-43.42891666,5,8
7.8726,99.7283,2,9
6.686,80.3874,2,14
44.4305,-118.1417,4,15
34.1008,-118.1585,3,3
27.0087,88.443,3,3
-26.3402,31.141,2,3
27.703,85.3183,2,12
-22.8547,-43.0848,2,3
26.8998,86.7014,2,1
39.35900577,-123.5095595,3,12
28.0872,83.2935,3,1
43.0359,25.1045,3,3
6.9794,81.071,3,3
